,index,name,Initialized,Started,Finished,Date Initialized,Date Started,Date Finished,port,region,capacity
16,16,Project 24,52584,74865.02026190475,86883.77145238093,2035-05-01,2037-11-14 10:00:00,2039-03-30 04:00:00,Coos Bay,Southern OR (Brookings),1000
17,17,Project 13,70128,70128.0,81840.47619047618,2037-05-01,2037-05-01 00:00:00,2038-09-01 01:00:00,Humboldt,Northern CA (Humboldt),1000
18,18,Project 32,61368,69111.26738095233,81364.9935714285,2036-05-01,2037-03-19 16:00:00,2038-08-12 05:00:00,Long Beach,Central CA (Morro Bay),1000
19,19,Project 23,43824,63951.019071428556,74865.02026190475,2034-05-01,2036-08-16 16:00:00,2037-11-14 10:00:00,Coos Bay,Central OR (Coos Bay),1000
20,20,Project 12,61368,61368.0,72945.97619047618,2036-05-01,2036-05-01 00:00:00,2037-08-26 10:00:00,Humboldt,Northern CA (Humboldt),1000
21,21,Project 30,26304,55192.582380952335,71668.62357142853,2032-05-01,2035-08-17 17:00:00,2037-07-04 05:00:00,Long Beach,Central CA (Morro Bay),1000
22,22,Project 31,43824,56649.54119047616,69111.26738095233,2034-05-01,2035-10-17 10:00:00,2037-03-19 16:00:00,Long Beach,Central CA (Morro Bay),1000
23,23,Project 11,52584,52584.0,64692.47619047617,2035-05-01,2035-05-01 00:00:00,2036-09-16 13:00:00,Humboldt,Northern CA (Humboldt),1000
24,24,Project 22,35064,48034.33438095238,63951.019071428556,2033-05-01,2034-10-23 11:00:00,2036-08-16 16:00:00,Coos Bay,Southern OR (Brookings),1000
25,25,Project 3,17520,40944.0,56649.54119047616,2031-05-01,2034-01-01 00:00:00,2035-10-17 10:00:00,Long Beach,Central CA (Morro Bay),1000
26,26,Project 10,43824,43824.0,55202.47619047618,2034-05-01,2034-05-01 00:00:00,2035-08-18 03:00:00,Humboldt,Northern CA (Humboldt),1000
27,27,Project 2,8760,39465.54119047617,55192.582380952335,2030-05-01,2033-10-31 10:00:00,2035-08-17 17:00:00,Long Beach,Central CA (Morro Bay),1000
28,28,Project 9,35064,35064.0,50519.63619047617,2033-05-01,2033-05-01 00:00:00,2035-02-04 00:00:00,Humboldt,Northern CA (Humboldt),1000
29,29,Project 7,26304,32956.68469047618,48034.33438095238,2032-05-01,2033-02-02 05:00:00,2034-10-23 11:00:00,Coos Bay,Central OR (Coos Bay),1000
30,30,Project 8,26304,26304.0,41758.63619047617,2032-05-01,2032-05-01 00:00:00,2034-02-03 23:00:00,Humboldt,Northern CA (Humboldt),1000
31,31,Project 1,0,23400.0,39465.54119047617,2029-05-01,2032-01-01 00:00:00,2033-10-31 10:00:00,Long Beach,Central CA (Morro Bay),1000
32,32,Project 6,17520,17520.0,32956.68469047618,2031-05-01,2031-05-01 00:00:00,2033-02-02 05:00:00,Coos Bay,Southern OR (Brookings),1000
33,33,Project 5,8760,8760.0,24619.13619047617,2030-05-01,2030-05-01 00:00:00,2032-02-20 20:00:00,Humboldt,Northern CA (Humboldt),1000
34,34,Project 4,0,0.0,16440.636190476165,2029-05-01,2029-05-01 00:00:00,2031-03-17 01:00:00,Humboldt,Northern CA (Humboldt),1000
